"NUTS_ID","CNTR_CODE","sector","ETS","capital_lifetime","e_95","e_21","e_hist","pop_50","ISO","pop_21","pop_95","sect_b"
"BE21","BE","WWT",0,24,2.378133078e-4,1.9760424850000002e-4,0.005448612385,1993930,"BEL",1828927,1628710,0.004383686712120484
"BE22","BE","AGS",0,23,7.728683023e-5,7.324977409e-5,0.002021089106,860427,"BEL",866970,771613,0.0015572778813752084
"BE22","BE","AWB",0,23,3.63797255e-7,4.06874821e-7,1.2174882710000001e-5,860427,"BEL",866970,771613,8.650090284965097e-6
"BE22","BE","ENF",0,23,4.385220792e-4,3.270843104e-4,0.01009354214,860427,"BEL",866970,771613,0.006953757445107542
"BE22","BE","IDE",0,15,4.558032784e-5,2.198864352e-5,9.238449396e-4,860427,"BEL",866970,771613,3.048749114324399e-4
"BE22","BE","MNM",0,23,2.109571249e-4,1.668650699e-4,0.005029715871,860427,"BEL",866970,771613,0.0035475233303808
"BE22","BE","N2O",0,23,6.0047238030000003e-5,5.102721371e-5,0.001481615496,860427,"BEL",866970,771613,0.0010848299840645799
"BE22","BE","NEU",0,15,9.692689619999999e-6,4.4765835129999994e-6,1.536374091e-4,860427,"BEL",866970,771613,6.206831270898677e-5
"BE22","BE","PRU",0,15,1.4745266950000002e-4,2.0323946939999999e-4,0.005487114517,860427,"BEL",866970,771613,0.002817937139985117
"BE22","BE","RCO",0,20,0.002462335605,0.001813802984,0.05860135348,860427,"BEL",866970,771613,0.033531431719889024
"BE22","BE","SOL",0,15,6.706447884000001e-5,6.723749188e-5,0.001755976637,860427,"BEL",866970,771613,9.3225506899547e-4
"BE22","BE","SWD_LDF",0,24,1.07810132e-4,3.515544027e-5,0.0016752948510000002,860427,"BEL",866970,771613,7.798943471113898e-4
"BE22","BE","TNR",0,26,1.80058331e-5,1.2491846990000002e-5,4.006828602e-4,860427,"BEL",866970,771613,3.002147275773983e-4
"BE22","BE","TRO",0,16,0.00193521504,0.002120792654,0.058547356890000006,860427,"BEL",866970,771613,0.03136535321507365
"BE22","BE","WWT",0,24,1.0571264370000001e-4,8.416797491e-5,0.00233391767,860427,"BEL",866970,771613,0.0018671968644391626
"BE23","BE","AGS",0,23,1.974153296e-4,1.881638097e-4,0.0051730716240000005,1583797,"BEL",1489084,1349382,0.004000330957486286
"BE23","BE","AWB",0,23,8.204603029999999e-7,9.51641535e-7,2.7935535770000003e-5,1583797,"BEL",1489084,1349382,2.023173903079339e-5
"BE23","BE","ENF",0,23,8.754788758e-4,6.540729093e-4,0.02017784543,1583797,"BEL",1489084,1349382,0.01390548007981744
"BE23","BE","IDE",0,15,4.683530244e-5,2.2594018699999998e-5,9.492816137999999e-4,1583797,"BEL",1489084,1349382,0.00031326850352546846
"BE23","BE","MNM",0,23,4.8795570509999997e-4,3.8604774400000005e-4,0.011660874830000001,1583797,"BEL",1489084,1349382,0.008207310129685055
"BE23","BE","N2O",0,23,6.719928170999999e-5,5.770374285e-5,0.0016675343109999999,1583797,"BEL",1489084,1349382,0.001226771871029368
"BE23","BE","NEU",0,15,1.7761205459999998e-5,8.287305515e-6,2.827656386e-4,1583797,"BEL",1489084,1349382,1.1490438382891186e-4
"BE23","BE","PRU",0,15,2.701971526e-4,3.920543361e-4,0.01034466661,1583797,"BEL",1489084,1349382,0.0054358756094469414
"BE23","BE","RCO",0,20,0.0042235594469999995,0.003173866634,0.1022626734,1583797,"BEL",1489084,1349382,0.05867467043818967
