"NUTS_ID","pop_95","pop_21","pop_50","k_95","k_19","CNTR_CODE","ISO","emi_hist","pop_2000","eu_nhbc","eu_nhb","eu_pcc_nhb","eu_epc_s"
"EL41",198878,196654,332859,11.45106650917869,15.163198115243636,"EL","GRC",31743603.713744253,196904,-0.3743044056098899,-0.3707246829641819,-0.31722640058587204,0.03170073102181038
"EL42",280421,334791,377781,22.79149167482746,30.17988790217251,"EL","GRC",56972006.87628185,305954,-0.4990957676607481,-0.49447562306181764,-0.42542843006809467,0.024911990704550434
"EL43",556202,631812,637501,36.214099412782254,47.95374854569162,"EL","GRC",96776687.58513601,575599,-0.8812038914106474,-0.8730067135376958,-0.7505014303202425,0.04850398031296434
"EL51",576350,604504,563168,51.33570812087449,67.9773811460442,"EL","GRC",88996032.92411585,582750,-0.8299813206607594,-0.8222381060256782,-0.706517218107141,0.04823892907114864
"EL52",1763273,1883339,1666719,114.17186504549754,151.1833511301392,"EL","GRC",294315084.9262038,1828425,-2.55438106043318,-2.5307636199422237,-2.17780540907273,0.12426281856076188
"EL53",291394,273843,207315,27.23964874013209,36.070019338827,"EL","GRC",47771691.82229469,287156,-0.3675116175520815,-0.36417037054852347,-0.31423606183710867,0.011446078465597136
"EL54",333350,336834,286784,20.87120801763018,27.637099288709525,"EL","GRC",52936865.86458784,337513,-0.45662621551973187,-0.4524077062834364,-0.3893628783246479,0.021828846052632786
"EL61",740298,729442,601250,55.79199138655138,73.87827308138847,"EL","GRC",112624969.7202618,739421,-0.9795434461689899,-0.9704842435837884,-0.8350961629998084,0.04793358135682506
"EL62",196987,206141,188465,13.465114016825053,17.83014632897337,"EL","GRC",34549029.149142906,203658,-0.288107638040142,-0.28545797850747745,-0.2458593146124338,0.01241156052871284
"EL63",708189,668258,534531,37.512416195333934,49.67294514405185,"EL","GRC",103472550.13172188,707200,-0.9064134257672474,-0.898022782063218,-0.772626188348857,0.04523696188688833
"EL64",552208,555830,516335,54.0642361689429,71.59042551380655,"EL","GRC",88601812.56773904,553882,-0.7806365407818411,-0.7734048541017186,-0.6653286553636648,0.039567209405636
"EL65",582807,581026,511440,51.60387273315888,68.33247760280709,"EL","GRC",88236244.04088779,585638,-0.7976401084531245,-0.7902269162129942,-0.6794381509820676,0.043149647127451285
"ES11",2727113,2720102,2359287,170.9453634101394,310.5847557660076,"ES","ESP",414058780.60749185,2702471,-3.1416141391463612,-2.9610308089158504,-2.843428440112734,0.1727223143922743
"ES12",1086001,1040925,820426,57.56394031342802,104.58594481021555,"ES","ESP",164901001.4285092,1068287,-1.1826440985682822,-1.1152623542435518,-1.0713809354184638,0.05404685863913791
"ES13",531185,582504,526400,37.9255782254999,68.90567965970838,"ES","ESP",92758924.10443571,533417,-0.6638469803529938,-0.6260369382105387,-0.6014136769448258,0.030099691372512644
"ES21",2097947,2164066,2158780,88.4767935700484,160.75044548580627,"ES","ESP",411799385.3167151,2084535,-2.698332357896274,-2.5469478085130204,-2.4483607374642276,0.08010422250668003
"ES22",531732,637486,719331,49.121519361059285,89.24720032918364,"ES","ESP",116479552.04377005,548379,-0.7995918627416165,-0.7543650278027434,-0.7249116839337953,0.030478927982764928
"ES23",268055,312810,295462,24.579756835281888,44.658115442171,"ES","ESP",52887048.759429805,273828,-0.3596520086928349,-0.3393420128244178,-0.32611541199997574,0.013107534460948742
"ES24",1196261,1318571,1273947,96.27501887025672,174.918773026007,"ES","ESP",225641431.0864444,1200200,-1.5588487688657038,-1.470581075163273,-1.4130979738441023,0.061172495191814336
"ES30",5116658,6424275,8159656,133.05607188472806,241.74500416459654,"ES","ESP",1241370914.1334124,5329606,-8.510131856642861,-8.028888807427178,-7.715486000614631,0.32236325235553
